Date,Team 1,FT,HT,Team 2
Fri Feb 16 2018,FC Voluntari,0-1,?,U Craiova
Sat Feb 17 2018,Sepsi Sf. Gheorghe,1-1,?,Concordia
Sat Feb 17 2018,CFR Cluj,2-0,?,Astra
Sun Feb 18 2018,Poli Timisoara,1-2,?,Poli Iasi
Sun Feb 18 2018,Din. Bucuresti,2-2,?,FCSB
Mon Feb 19 2018,Viitorul Constanta,2-1,?,FC Botosani
Fri Feb 23 2018,U Craiova,1-1,?,Poli Timisoara
Sat Feb 24 2018,FC Botosani,1-0,?,Gaz Metan Medias
Sat Feb 24 2018,Astra,2-0,?,Din. Bucuresti
Sat Feb 24 2018,Poli Iasi,0-1,?,Viitorul Constanta
Sun Feb 25 2018,Daco-Getica Bucuresti,0-2,?,CFR Cluj
Sun Feb 25 2018,FCSB,2-0,?,Sepsi Sf. Gheorghe
Tue Feb 27 2018,Concordia,3-1,?,FC Voluntari
Fri Mar 9 2018,FC Botosani,0-0,?,Daco-Getica Bucuresti
Fri Mar 9 2018,CFR Cluj,2-1,?,Poli Iasi
Sat Mar 10 2018,Concordia,1-1,?,Sepsi Sf. Gheorghe
Sat Mar 10 2018,U Craiova,1-0,?,Astra
Sun Mar 11 2018,FC Voluntari,1-0,?,Poli Timisoara
Sun Mar 11 2018,FCSB,2-1,?,Viitorul Constanta
Mon Mar 12 2018,Din. Bucuresti,3-0,?,Gaz Metan Medias
Fri Mar 16 2018,Daco-Getica Bucuresti,1-0,?,Poli Timisoara
Fri Mar 16 2018,Viitorul Constanta,0-0,?,U Craiova
Sat Mar 17 2018,Gaz Metan Medias,2-1,?,Concordia
Sun Mar 18 2018,CFR Cluj,1-1,?,FCSB
Mon Mar 19 2018,Sepsi Sf. Gheorghe,2-2,?,FC Voluntari
Fri Mar 30 2018,Concordia,0-0,?,FC Botosani
Fri Mar 30 2018,Din. Bucuresti,1-2,?,Daco-Getica Bucuresti
Sat Mar 31 2018,FC Voluntari,1-2,?,Gaz Metan Medias
Sat Mar 31 2018,U Craiova,0-0,?,CFR Cluj
Sun Apr 1 2018,Astra,0-2,?,Viitorul Constanta
Sun Apr 1 2018,FCSB,1-0,?,Poli Iasi
Mon Apr 2 2018,Poli Timisoara,2-2,?,Sepsi Sf. Gheorghe
Tue Apr 3 2018,FC Botosani,0-1,?,Din. Bucuresti
Fri Apr 6 2018,Poli Iasi,0-2,?,Viitorul Constanta
Sat Apr 7 2018,FC Botosani,1-0,?,FC Voluntari
Sat Apr 7 2018,Din. Bucuresti,3-1,?,Concordia
Sun Apr 8 2018,CFR Cluj,1-1,?,Astra
Mon Apr 9 2018,Gaz Metan Medias,1-1,?,Poli Timisoara
Mon Apr 9 2018,Daco-Getica Bucuresti,0-2,?,Sepsi Sf. Gheorghe
Mon Apr 9 2018,FCSB,2-0,?,U Craiova
Fri Apr 13 2018,FC Voluntari,2-4,?,Din. Bucuresti
Sat Apr 14 2018,Sepsi Sf. Gheorghe,2-1,?,Gaz Metan Medias
Sat Apr 14 2018,U Craiova,4-1,?,Poli Iasi
Sun Apr 15 2018,Concordia,2-1,?,Daco-Getica Bucuresti
Sun Apr 15 2018,Viitorul Constanta,1-2,?,CFR Cluj
Mon Apr 16 2018,Poli Timisoara,0-1,?,FC Botosani
Mon Apr 16 2018,Astra,0-3,?,FCSB
