Date,Team 1,FT,HT,Team 2
Mon May 3 2004,Bielefeld,1-3,1-2,Nurnberg
Fri May 7 2004,Burghausen,2-0,2-0,Regensburg
Fri May 7 2004,Mainz,2-0,2-0,Unterhaching
Fri May 7 2004,Osnabruck,3-4,2-1,Nurnberg
Sun May 9 2004,Ahlen,1-0,0-0,Union Berlin
Sun May 9 2004,Cottbus,1-1,1-0,Lubeck
Sun May 9 2004,Erzgebirge Aue,2-1,0-1,Duisburg
Sun May 9 2004,Greuther Furth,1-2,0-2,Bielefeld
Sun May 9 2004,Karlsruhe,0-1,0-0,Ein Trier
Mon May 10 2004,Oberhausen,1-2,1-0,Aachen
Sun May 16 2004,Aachen,1-1,0-1,Ahlen
Sun May 16 2004,Duisburg,1-1,1-1,Greuther Furth
Sun May 16 2004,Ein Trier,0-0,0-0,Burghausen
Sun May 16 2004,Lubeck,2-2,0-2,Erzgebirge Aue
Sun May 16 2004,Nurnberg,1-3,0-1,Oberhausen
Sun May 16 2004,Osnabruck,0-0,0-0,Bielefeld
Sun May 16 2004,Regensburg,0-0,0-0,Mainz
Sun May 16 2004,Union Berlin,2-2,2-1,Karlsruhe
Sun May 16 2004,Unterhaching,2-0,2-0,Cottbus
Sun May 23 2004,Ahlen,2-0,2-0,Nurnberg
Sun May 23 2004,Bielefeld,1-3,0-1,Duisburg
Sun May 23 2004,Burghausen,3-1,2-0,Union Berlin
Sun May 23 2004,Cottbus,3-0,1-0,Regensburg
Sun May 23 2004,Erzgebirge Aue,3-3,2-3,Unterhaching
Sun May 23 2004,Greuther Furth,2-0,1-0,Lubeck
Sun May 23 2004,Karlsruhe,1-0,1-0,Aachen
Sun May 23 2004,Mainz,3-0,1-0,Ein Trier
Sun May 23 2004,Oberhausen,3-2,1-2,Osnabruck
